127.0.0.1, 2018-03-31 15:51:30, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.001238
127.0.0.1, 2018-03-31 15:51:30, GET, /favicon.ico, HTTP/1.1, 500, 0.065617
127.0.0.1, 2018-03-31 15:51:52, GET, /appadmin, HTTP/1.1, 200, 0.094615
127.0.0.1, 2018-03-31 15:51:53, GET, /appadmin/hooks, HTTP/1.1, 200, 0.201920
127.0.0.1, 2018-03-31 15:51:54, GET, /appadmin/select/db, HTTP/1.1, 200, 0.112083
127.0.0.1, 2018-03-31 15:52:13, GET, /appadmin, HTTP/1.1, 200, 0.088562
127.0.0.1, 2018-03-31 15:52:14, GET, /appadmin/hooks, HTTP/1.1, 200, 0.189105
127.0.0.1, 2018-03-31 15:52:16, GET, /appadmin/select/db, HTTP/1.1, 200, 0.094994
127.0.0.1, 2018-03-31 15:52:18, GET, /appadmin, HTTP/1.1, 200, 0.091392
127.0.0.1, 2018-03-31 15:52:19, GET, /appadmin/hooks, HTTP/1.1, 200, 0.208504
127.0.0.1, 2018-03-31 15:52:19, GET, /appadmin/select/db, HTTP/1.1, 200, 0.098841
127.0.0.1, 2018-03-31 15:52:26, GET, /appadmin/update/db/auth_group/1, HTTP/1.1, 200, 0.117145
127.0.0.1, 2018-03-31 15:52:35, POST, /appadmin/update/db/auth_group/1, HTTP/1.1, 303, 0.201446
127.0.0.1, 2018-03-31 15:52:35, GET, /appadmin/select/db, HTTP/1.1, 200, 0.100893
127.0.0.1, 2018-03-31 15:53:00, GET, /datamark/default/refresh, HTTP/1.1, 200, 0.225118
127.0.0.1, 2018-03-31 15:53:09, GET, /admin, HTTP/1.1, 303, 0.008481
127.0.0.1, 2018-03-31 15:53:09, GET, /admin/site, HTTP/1.1, 200, 0.072098
127.0.0.1, 2018-03-31 15:53:11, GET, /favicon.ico, HTTP/1.1, 500, 0.066404
127.0.0.1, 2018-03-31 15:53:12, GET, /admin/design/datamark, HTTP/1.1, 200, 0.334628
127.0.0.1, 2018-03-31 15:53:13, GET, /favicon.ico, HTTP/1.1, 500, 0.062399
127.0.0.1, 2018-03-31 15:53:18, GET, /admin/peek/datamark/models/db.py, HTTP/1.1, 200, 0.145669
127.0.0.1, 2018-03-31 15:53:19, GET, /favicon.ico, HTTP/1.1, 500, 0.066282
127.0.0.1, 2018-03-31 15:53:25, GET, /admin/design/datamark, HTTP/1.1, 200, 0.367529
127.0.0.1, 2018-03-31 15:53:25, GET, /favicon.ico, HTTP/1.1, 500, 0.061229
127.0.0.1, 2018-03-31 18:13:30, GET, /datamark/default/mark, HTTP/1.1, 500, 0.181561
127.0.0.1, 2018-03-31 18:13:31, GET, /favicon.ico, HTTP/1.1, 500, 0.066622
127.0.0.1, 2018-03-31 18:13:33, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-13-30.bef00943-7e71-4e1d-8f3d-019f2a4651eb, HTTP/1.1, 303, 0.010687
127.0.0.1, 2018-03-31 18:13:33, GET, /admin, HTTP/1.1, 200, 0.035825
127.0.0.1, 2018-03-31 18:13:34, GET, /favicon.ico, HTTP/1.1, 500, 0.068497
127.0.0.1, 2018-03-31 18:13:36, POST, /admin, HTTP/1.1, 303, 0.047229
127.0.0.1, 2018-03-31 18:13:36, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-13-30.bef00943-7e71-4e1d-8f3d-019f2a4651eb, HTTP/1.1, 200, 0.097764
127.0.0.1, 2018-03-31 18:13:37, GET, /favicon.ico, HTTP/1.1, 500, 0.067668
127.0.0.1, 2018-03-31 18:14:31, GET, /datamark/default/mark, HTTP/1.1, 500, 0.129108
127.0.0.1, 2018-03-31 18:14:32, GET, /favicon.ico, HTTP/1.1, 500, 0.079235
127.0.0.1, 2018-03-31 18:14:33, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-14-31.66f75c21-560c-4870-b79b-9e25fbb995be, HTTP/1.1, 200, 0.100825
127.0.0.1, 2018-03-31 18:14:34, GET, /favicon.ico, HTTP/1.1, 500, 0.066819
127.0.0.1, 2018-03-31 18:15:46, GET, /datamark/default/mark, HTTP/1.1, 500, 0.313699
127.0.0.1, 2018-03-31 18:15:47, GET, /favicon.ico, HTTP/1.1, 500, 0.069534
127.0.0.1, 2018-03-31 18:15:47, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-15-46.43905c1e-e9eb-406b-bc65-1b19720b4173, HTTP/1.1, 200, 0.087035
127.0.0.1, 2018-03-31 18:15:48, GET, /favicon.ico, HTTP/1.1, 500, 0.072660
127.0.0.1, 2018-03-31 18:20:15, GET, /datamark/default/mark, HTTP/1.1, 500, 0.173052
127.0.0.1, 2018-03-31 18:20:16, GET, /favicon.ico, HTTP/1.1, 500, 0.074839
127.0.0.1, 2018-03-31 18:20:18, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-20-15.f5fbd16b-babf-4ab3-ad6d-5731ffc033cb, HTTP/1.1, 200, 0.089905
127.0.0.1, 2018-03-31 18:20:19, GET, /favicon.ico, HTTP/1.1, 500, 0.074568
127.0.0.1, 2018-03-31 18:20:32, GET, /datamark/default/mark, HTTP/1.1, 500, 0.232497
127.0.0.1, 2018-03-31 18:20:32, GET, /favicon.ico, HTTP/1.1, 500, 0.062097
127.0.0.1, 2018-03-31 18:20:34, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-20-32.1a12736e-33b8-42d9-aa1a-65c94b4471bd, HTTP/1.1, 200, 0.220107
127.0.0.1, 2018-03-31 18:20:35, GET, /favicon.ico, HTTP/1.1, 500, 0.084194
127.0.0.1, 2018-03-31 18:21:12, GET, /datamark/default/mark, HTTP/1.1, 500, 0.188883
127.0.0.1, 2018-03-31 18:21:13, GET, /favicon.ico, HTTP/1.1, 500, 0.064099
127.0.0.1, 2018-03-31 18:21:14, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-21-12.a2281e54-d67c-4b00-be8d-41a1cd7955f7, HTTP/1.1, 200, 0.225918
127.0.0.1, 2018-03-31 18:21:16, GET, /favicon.ico, HTTP/1.1, 500, 0.067999
127.0.0.1, 2018-03-31 18:21:53, GET, /datamark/default/mark, HTTP/1.1, 500, 0.203863
127.0.0.1, 2018-03-31 18:21:54, GET, /favicon.ico, HTTP/1.1, 500, 0.153402
127.0.0.1, 2018-03-31 18:21:55, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-21-53.716a5f3d-d972-482f-a685-50d52ad96736, HTTP/1.1, 200, 0.218698
127.0.0.1, 2018-03-31 18:21:56, GET, /favicon.ico, HTTP/1.1, 500, 0.065841
127.0.0.1, 2018-03-31 18:28:22, GET, /datamark/default/mark, HTTP/1.1, 500, 0.165641
127.0.0.1, 2018-03-31 18:28:23, GET, /favicon.ico, HTTP/1.1, 500, 0.073864
127.0.0.1, 2018-03-31 18:28:24, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-28-22.17ee629a-a3ff-47cc-8f5d-e2d64d5f8b6b, HTTP/1.1, 200, 0.089133
127.0.0.1, 2018-03-31 18:28:25, GET, /favicon.ico, HTTP/1.1, 500, 0.062774
127.0.0.1, 2018-03-31 18:29:58, GET, /datamark/default/mark, HTTP/1.1, 500, 0.195627
127.0.0.1, 2018-03-31 18:29:59, GET, /favicon.ico, HTTP/1.1, 500, 0.069026
127.0.0.1, 2018-03-31 18:29:59, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.18-29-58.27079e7a-48f0-420c-b400-aaa7db5372a3, HTTP/1.1, 200, 0.098316
127.0.0.1, 2018-03-31 18:30:00, GET, /favicon.ico, HTTP/1.1, 500, 0.103982
127.0.0.1, 2018-03-31 18:31:00, GET, /datamark/default/mark, HTTP/1.1, 200, 0.167609
